rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,time_ms,num_games,num_wins,win_rate,confidence_interval,level
0,0,0,0,0.004,100,1083,1034,0.9547553093259464,"[0.94, 0.97]",8
0,0,0,0,0.004,200,1083,1075,0.9926131117266851,"[0.99, 1.00]",8
0,0,0,0,0.004,300,1083,1079,0.9963065558633426,"[0.99, 1.00]",8
0,0,0,0,0.004,400,1083,1078,0.9953831948291783,"[0.99, 1.00]",8
0,0,0,0,0.004,800,1083,1081,0.9981532779316713,"[0.99, 1.00]",8
0,0,0,0,0.004,1600,1082,1081,0.9990757855822551,"[0.99, 1.00]",8
