level,time_ms,threads,ucb_const,rollout_mode,win,num_steps
9,400,4,5.0,0,False,14
9,400,4,5.0,1,False,18
9,400,4,5.0,2,False,19
9,400,4,10,0,False,16
9,400,4,10,1,False,14
9,400,4,10,2,True,32
9,400,4,30,0,False,12
9,400,4,30,1,False,20
9,400,4,30,2,False,16
9,400,4,100,0,False,23
9,400,4,100,1,False,14
9,400,4,100,2,False,12
9,450,4,0.1,0,False,14
9,450,4,0.1,1,True,32
9,450,4,0.1,2,True,18
9,450,4,0.2,0,False,21
9,450,4,0.2,1,False,30
9,450,4,0.2,2,False,21
9,450,4,0.5,0,False,22
9,450,4,0.5,1,False,40
9,450,4,0.5,2,True,27
9,450,4,1.0,0,False,29
9,450,4,1.0,1,True,35
9,450,4,1.0,2,False,22
9,450,4,1.4,0,False,26
9,450,4,1.4,1,False,28
9,450,4,1.4,2,True,29
9,450,4,2.0,0,True,24
9,450,4,2.0,1,False,21
9,450,4,2.0,2,False,8
9,450,4,3.0,0,True,19
9,450,4,3.0,1,False,24
9,450,4,3.0,2,True,32
9,450,4,4.0,0,True,32
9,450,4,4.0,1,True,34
9,450,4,4.0,2,False,27
9,450,4,5.0,0,False,14
9,450,4,5.0,1,True,31
9,450,4,5.0,2,True,23
9,450,4,10,0,False,26
9,450,4,10,1,False,37
9,450,4,10,2,True,23
9,450,4,30,0,False,28
9,450,4,30,1,True,29
9,450,4,30,2,False,26
9,450,4,100,0,False,27
9,450,4,100,1,False,14
9,450,4,100,2,False,23
9,500,4,0.1,0,False,28
9,500,4,0.1,1,False,16
9,500,4,0.1,2,False,27
9,500,4,0.2,0,False,23
9,500,4,0.2,1,True,29
9,500,4,0.2,2,True,30
9,500,4,0.5,0,False,23
9,500,4,0.5,1,True,33
9,500,4,0.5,2,False,22
9,500,4,1.0,0,False,26
9,500,4,1.0,1,False,22
9,500,4,1.0,2,False,25
9,500,4,1.4,0,False,28
9,500,4,1.4,1,True,34
9,500,4,1.4,2,True,26
9,500,4,2.0,0,False,23
9,500,4,2.0,1,False,29
9,500,4,2.0,2,True,35
9,500,4,3.0,0,True,17
9,500,4,3.0,1,True,23
9,500,4,3.0,2,False,30
9,500,4,4.0,0,False,23
9,500,4,4.0,1,False,20
9,500,4,4.0,2,False,18
9,500,4,5.0,0,True,26
9,500,4,5.0,1,True,38
9,500,4,5.0,2,True,21
9,500,4,10,0,False,27
9,500,4,10,1,False,14
9,500,4,10,2,False,24
9,500,4,30,0,False,14
9,500,4,30,1,True,32
9,500,4,30,2,False,41
9,500,4,100,0,True,28
9,500,4,100,1,False,31
9,500,4,100,2,True,32
9,550,4,0.1,0,False,28
9,550,4,0.1,1,False,24
9,550,4,0.1,2,False,21
9,550,4,0.2,0,False,29
9,550,4,0.2,1,True,29
9,550,4,0.2,2,True,30
9,550,4,0.5,0,False,17
9,550,4,0.5,1,False,24
9,550,4,0.5,2,True,22
9,550,4,1.0,0,True,22
9,550,4,1.0,1,True,34
9,550,4,1.0,2,False,27
