rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,time_ms,num_games,num_wins,win_rate,confidence_interval,level
0,0,0,0,0.004,100,977,305,0.31218014329580346,"[0.28, 0.34]",7
0,0,0,0,0.004,200,977,842,0.8618219037871033,"[0.84, 0.88]",7
0,0,0,0,0.004,300,977,919,0.9406345957011258,"[0.92, 0.95]",7
0,0,0,0,0.004,400,977,957,0.9795291709314228,"[0.97, 0.99]",7
0,0,0,0,0.004,800,975,969,0.9938461538461538,"[0.99, 1.00]",7
0,0,0,0,0.004,1600,975,973,0.997948717948718,"[0.99, 1.00]",7
