rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,time_ms,num_games,num_wins,win_rate,confidence_interval,level
0,0,0,0,0.016,800,703,17,0.02418207681365576,"[0.02, 0.04]",9++
0,0,0,0,0.016,1600,505,17,0.033663366336633666,"[0.02, 0.05]",9++
0,0,0,0,0.016,3200,926,63,0.06803455723542116,"[0.05, 0.09]",9++
0,0,0,0,0.016,6400,1308,112,0.0856269113149847,"[0.07, 0.10]",9++
0,0,0,0,0.064,100,508,1,0.001968503937007874,"[0.00, 0.01]",9++
0,0,0,0,0.064,200,508,2,0.003937007874015748,"[0.00, 0.01]",9++
0,0,0,0,0.064,300,508,3,0.005905511811023622,"[0.00, 0.02]",9++
0,0,0,0,0.064,400,508,4,0.007874015748031496,"[0.00, 0.02]",9++
0,0,0,0,0.064,500,506,2,0.003952569169960474,"[0.00, 0.01]",9++
0,0,0,0,0.064,600,505,7,0.013861386138613862,"[0.01, 0.03]",9++
0,0,0,0,0.064,700,505,4,0.007920792079207921,"[0.00, 0.02]",9++
0,0,0,0,0.064,800,505,7,0.013861386138613862,"[0.01, 0.03]",9++
0,0,0,0,0.064,1600,503,9,0.017892644135188866,"[0.01, 0.03]",9++
0,0,0,0,0.064,3200,926,18,0.019438444924406047,"[0.01, 0.03]",9++
0,0,0,0,0.064,6400,1306,48,0.036753445635528334,"[0.03, 0.05]",9++
0,0,0,0,0.256,100,508,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,0.256,200,508,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,0.256,300,508,1,0.001968503937007874,"[0.00, 0.01]",9++
0,0,0,0,0.256,400,508,1,0.001968503937007874,"[0.00, 0.01]",9++
0,0,0,0,0.256,500,506,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,0.256,600,505,3,0.005940594059405941,"[0.00, 0.02]",9++
0,0,0,0,0.256,700,505,6,0.011881188118811881,"[0.01, 0.03]",9++
0,0,0,0,0.256,800,505,5,0.009900990099009901,"[0.00, 0.02]",9++
0,0,0,0,0.256,1600,503,8,0.015904572564612324,"[0.01, 0.03]",9++
0,0,0,0,0.256,3200,926,6,0.0064794816414686825,"[0.00, 0.01]",9++
0,0,0,0,0.256,6400,1306,28,0.021439509954058193,"[0.01, 0.03]",9++
0,0,0,0,1.024,100,508,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,1.024,200,508,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,1.024,300,508,1,0.001968503937007874,"[0.00, 0.01]",9++
0,0,0,0,1.024,400,508,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,1.024,500,505,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,1.024,600,505,0,0.0,"[0.00, 0.01]",9++
0,0,0,0,1.024,700,505,1,0.0019801980198019802,"[0.00, 0.01]",9++
0,0,0,0,1.024,800,505,1,0.0019801980198019802,"[0.00, 0.01]",9++
0,0,0,0,1.024,1600,503,2,0.003976143141153081,"[0.00, 0.01]",9++
0,0,0,0,1.024,3200,926,3,0.0032397408207343412,"[0.00, 0.01]",9++
0,0,0,1,0.004,100,1540,1,0.0006493506493506494,"[0.00, 0.00]",9++
0,0,0,1,0.004,200,1540,6,0.003896103896103896,"[0.00, 0.01]",9++
0,0,0,1,0.004,300,1540,25,0.016233766233766232,"[0.01, 0.02]",9++
0,0,0,1,0.004,400,1540,38,0.024675324675324677,"[0.02, 0.03]",9++
0,0,0,1,0.004,500,1540,56,0.03636363636363636,"[0.03, 0.05]",9++
0,0,0,1,0.004,600,1540,53,0.03441558441558441,"[0.03, 0.04]",9++
0,0,0,1,0.004,700,1539,73,0.04743339831059129,"[0.04, 0.06]",9++
0,0,0,1,0.004,800,1539,91,0.05912930474333983,"[0.05, 0.07]",9++
0,0,0,1,0.004,1600,1538,132,0.0858257477243173,"[0.07, 0.10]",9++
0,0,0,2,0.004,100,1753,5,0.002852253280091272,"[0.00, 0.01]",9++
0,0,0,2,0.004,200,1753,21,0.011979463776383342,"[0.01, 0.02]",9++
0,0,0,2,0.004,300,1753,34,0.01939532230462065,"[0.01, 0.03]",9++
0,0,0,2,0.004,400,1752,57,0.032534246575342464,"[0.03, 0.04]",9++
0,0,0,2,0.004,500,1552,86,0.055412371134020616,"[0.05, 0.07]",9++
0,0,0,2,0.004,600,1552,88,0.05670103092783505,"[0.05, 0.07]",9++
0,0,0,2,0.004,700,1551,110,0.07092198581560284,"[0.06, 0.08]",9++
0,0,0,2,0.004,800,1749,142,0.08118925100057175,"[0.07, 0.09]",9++
0,0,0,2,0.004,1600,1828,234,0.12800875273522977,"[0.11, 0.14]",9++
0,0,0,3,0.004,100,1540,1,0.0006493506493506494,"[0.00, 0.00]",9++
0,0,0,3,0.004,200,1540,14,0.00909090909090909,"[0.01, 0.02]",9++
0,0,0,3,0.004,300,1540,27,0.01753246753246753,"[0.01, 0.03]",9++
0,0,0,3,0.004,400,1540,45,0.02922077922077922,"[0.02, 0.04]",9++
0,0,0,3,0.004,500,1540,57,0.03701298701298701,"[0.03, 0.05]",9++
0,0,0,3,0.004,600,1540,59,0.03831168831168831,"[0.03, 0.05]",9++
0,0,0,3,0.004,700,1539,92,0.05977907732293697,"[0.05, 0.07]",9++
0,0,0,3,0.004,800,1539,106,0.06887589343729694,"[0.06, 0.08]",9++
0,0,0,3,0.004,1600,1538,151,0.09817945383615084,"[0.08, 0.11]",9++
0,0,0,4,0.004,100,1540,1,0.0006493506493506494,"[0.00, 0.00]",9++
0,0,0,4,0.004,200,1540,9,0.005844155844155844,"[0.00, 0.01]",9++
0,0,0,4,0.004,300,1540,25,0.016233766233766232,"[0.01, 0.02]",9++
0,0,0,4,0.004,400,1540,30,0.01948051948051948,"[0.01, 0.03]",9++
0,0,0,4,0.004,500,1540,42,0.02727272727272727,"[0.02, 0.04]",9++
0,0,0,4,0.004,600,1540,65,0.04220779220779221,"[0.03, 0.05]",9++
0,0,0,4,0.004,700,1539,74,0.04808317089018843,"[0.04, 0.06]",9++
0,0,0,4,0.004,800,1539,81,0.05263157894736842,"[0.04, 0.06]",9++
0,0,0,4,0.004,1600,1538,153,0.09947984395318596,"[0.09, 0.12]",9++
1,0,0,0,0.001,100,709,3,0.004231311706629055,"[0.00, 0.01]",9++
1,0,0,0,0.001,200,709,9,0.012693935119887164,"[0.01, 0.02]",9++
1,0,0,0,0.001,300,709,31,0.04372355430183357,"[0.03, 0.06]",9++
1,0,0,0,0.001,400,708,103,0.14548022598870056,"[0.12, 0.17]",9++
1,0,0,0,0.001,500,507,94,0.1854043392504931,"[0.15, 0.22]",9++
1,0,0,0,0.001,600,505,131,0.2594059405940594,"[0.22, 0.30]",9++
1,0,0,0,0.001,700,505,142,0.2811881188118812,"[0.24, 0.32]",9++
1,0,0,0,0.001,800,703,221,0.31436699857752487,"[0.28, 0.35]",9++
1,0,0,0,0.001,1600,505,276,0.5465346534653466,"[0.50, 0.59]",9++
1,0,0,0,0.004,100,1052,1,0.0009505703422053232,"[0.00, 0.01]",9++
1,0,0,0,0.004,200,1052,16,0.015209125475285171,"[0.01, 0.02]",9++
1,0,0,0,0.004,300,1052,82,0.0779467680608365,"[0.06, 0.10]",9++
1,0,0,0,0.004,400,1051,165,0.15699333967649856,"[0.14, 0.18]",9++
1,0,0,0,0.004,500,850,190,0.2235294117647059,"[0.20, 0.25]",9++
1,0,0,0,0.004,600,848,228,0.2688679245283019,"[0.24, 0.30]",9++
1,0,0,0,0.004,700,848,277,0.3266509433962264,"[0.30, 0.36]",9++
1,0,0,0,0.004,800,1045,401,0.3837320574162679,"[0.35, 0.41]",9++
1,0,0,0,0.004,1600,1124,718,0.6387900355871886,"[0.61, 0.67]",9++
1,0,0,0,0.016,100,709,2,0.0028208744710860366,"[0.00, 0.01]",9++
1,0,0,0,0.016,200,709,8,0.011283497884344146,"[0.01, 0.02]",9++
1,0,0,0,0.016,300,708,35,0.04943502824858757,"[0.04, 0.07]",9++
1,0,0,0,0.016,400,707,107,0.15134370579915135,"[0.13, 0.18]",9++
1,0,0,0,0.016,500,506,92,0.18181818181818182,"[0.15, 0.22]",9++
1,0,0,0,0.016,600,505,131,0.2594059405940594,"[0.22, 0.30]",9++
1,0,0,0,0.016,700,505,175,0.3465346534653465,"[0.31, 0.39]",9++
1,0,0,0,0.016,800,703,276,0.39260312944523473,"[0.36, 0.43]",9++
1,0,0,0,0.016,1600,503,361,0.7176938369781312,"[0.68, 0.76]",9++
1,0,0,0,0.064,100,508,2,0.003937007874015748,"[0.00, 0.01]",9++
1,0,0,0,0.064,200,508,4,0.007874015748031496,"[0.00, 0.02]",9++
1,0,0,0,0.064,300,508,15,0.02952755905511811,"[0.02, 0.05]",9++
1,0,0,0,0.064,400,508,35,0.0688976377952756,"[0.05, 0.09]",9++
1,0,0,0,0.064,500,506,71,0.14031620553359683,"[0.11, 0.17]",9++
1,0,0,0,0.064,600,505,83,0.16435643564356436,"[0.13, 0.20]",9++
1,0,0,0,0.064,700,505,112,0.22178217821782178,"[0.19, 0.26]",9++
1,0,0,0,0.064,800,505,141,0.27920792079207923,"[0.24, 0.32]",9++
1,0,0,0,0.064,1600,503,260,0.5168986083499006,"[0.47, 0.56]",9++
1,0,0,0,0.256,100,508,0,0.0,"[0.00, 0.01]",9++
1,0,0,0,0.256,200,508,5,0.00984251968503937,"[0.00, 0.02]",9++
1,0,0,0,0.256,300,508,7,0.013779527559055118,"[0.01, 0.03]",9++
1,0,0,0,0.256,400,508,31,0.0610236220472441,"[0.04, 0.09]",9++
1,0,0,0,0.256,500,505,35,0.06930693069306931,"[0.05, 0.09]",9++
1,0,0,0,0.256,600,505,52,0.10297029702970296,"[0.08, 0.13]",9++
1,0,0,0,0.256,700,505,76,0.1504950495049505,"[0.12, 0.18]",9++
1,0,0,0,0.256,800,505,80,0.15841584158415842,"[0.13, 0.19]",9++
1,0,0,0,0.256,1600,503,157,0.3121272365805169,"[0.27, 0.35]",9++
1,0,0,0,1.024,100,508,2,0.003937007874015748,"[0.00, 0.01]",9++
1,0,0,0,1.024,200,508,2,0.003937007874015748,"[0.00, 0.01]",9++
1,0,0,0,1.024,300,508,8,0.015748031496062992,"[0.01, 0.03]",9++
1,0,0,0,1.024,400,507,9,0.01775147928994083,"[0.01, 0.03]",9++
1,0,0,0,1.024,500,505,22,0.04356435643564356,"[0.03, 0.07]",9++
1,0,0,0,1.024,600,505,20,0.039603960396039604,"[0.03, 0.06]",9++
1,0,0,0,1.024,700,505,29,0.05742574257425743,"[0.04, 0.08]",9++
1,0,0,0,1.024,800,505,31,0.061386138613861385,"[0.04, 0.09]",9++
1,0,0,0,1.024,1600,503,60,0.11928429423459244,"[0.09, 0.15]",9++
1,0,0,2,0.004,100,556,1,0.0017985611510791368,"[0.00, 0.01]",9++
1,0,0,2,0.004,200,556,9,0.01618705035971223,"[0.01, 0.03]",9++
1,0,0,2,0.004,300,556,36,0.06474820143884892,"[0.05, 0.09]",9++
1,0,0,2,0.004,400,555,76,0.13693693693693693,"[0.11, 0.17]",9++
1,0,0,2,0.004,800,552,237,0.42934782608695654,"[0.39, 0.47]",9++
1,0,0,2,0.004,1600,631,385,0.6101426307448494,"[0.57, 0.65]",9++
1,0,1,0,0.004,100,556,4,0.007194244604316547,"[0.00, 0.02]",9++
1,0,1,0,0.004,200,556,54,0.09712230215827339,"[0.08, 0.12]",9++
1,0,1,0,0.004,300,556,73,0.13129496402877697,"[0.11, 0.16]",9++
1,0,1,0,0.004,400,555,139,0.25045045045045045,"[0.22, 0.29]",9++
1,0,1,0,0.004,800,552,230,0.4166666666666667,"[0.38, 0.46]",9++
1,0,1,0,0.004,1600,631,393,0.6228209191759112,"[0.58, 0.66]",9++
1,0,1,2,0.004,100,556,3,0.00539568345323741,"[0.00, 0.02]",9++
1,0,1,2,0.004,200,556,42,0.07553956834532374,"[0.06, 0.10]",9++
1,0,1,2,0.004,300,556,72,0.12949640287769784,"[0.10, 0.16]",9++
1,0,1,2,0.004,400,555,144,0.2594594594594595,"[0.22, 0.30]",9++
1,0,1,2,0.004,800,552,216,0.391304347826087,"[0.35, 0.43]",9++
1,0,1,2,0.004,1600,631,397,0.6291600633914421,"[0.59, 0.67]",9++
1,1,0,0,0.004,100,556,1,0.0017985611510791368,"[0.00, 0.01]",9++
1,1,0,0,0.004,200,556,14,0.025179856115107913,"[0.02, 0.04]",9++
1,1,0,0,0.004,300,556,52,0.09352517985611511,"[0.07, 0.12]",9++
1,1,0,0,0.004,400,555,107,0.1927927927927928,"[0.16, 0.23]",9++
1,1,0,0,0.004,800,552,273,0.4945652173913043,"[0.45, 0.54]",9++
1,1,0,0,0.004,1600,631,430,0.6814580031695721,"[0.64, 0.72]",9++
1,1,0,2,0.004,100,1748,8,0.004576659038901602,"[0.00, 0.01]",9++
1,1,0,2,0.004,200,1748,49,0.02803203661327231,"[0.02, 0.04]",9++
1,1,0,2,0.004,300,1748,188,0.10755148741418764,"[0.09, 0.12]",9++
1,1,0,2,0.004,400,1747,321,0.1837435603892387,"[0.17, 0.20]",9++
1,1,0,2,0.004,500,1547,418,0.27020038784744665,"[0.25, 0.29]",9++
1,1,0,2,0.004,600,1547,531,0.34324499030381384,"[0.32, 0.37]",9++
1,1,0,2,0.004,700,1547,639,0.4130575307045895,"[0.39, 0.44]",9++
1,1,0,2,0.004,800,1744,796,0.45642201834862384,"[0.43, 0.48]",9++
1,1,0,2,0.004,1600,1822,1290,0.70801317233809,"[0.69, 0.73]",9++
1,1,1,0,0.004,100,556,17,0.030575539568345324,"[0.02, 0.05]",9++
1,1,1,0,0.004,200,556,69,0.12410071942446044,"[0.10, 0.15]",9++
1,1,1,0,0.004,300,556,132,0.23741007194244604,"[0.20, 0.27]",9++
1,1,1,0,0.004,400,555,168,0.3027027027027027,"[0.27, 0.34]",9++
1,1,1,0,0.004,800,552,271,0.49094202898550726,"[0.45, 0.53]",9++
1,1,1,0,0.004,1600,631,413,0.6545166402535658,"[0.62, 0.69]",9++
1,1,1,2,0.004,100,1748,50,0.028604118993135013,"[0.02, 0.04]",9++
1,1,1,2,0.004,200,1748,197,0.11270022883295194,"[0.10, 0.13]",9++
1,1,1,2,0.004,300,1748,347,0.19851258581235698,"[0.18, 0.22]",9++
1,1,1,2,0.004,400,1747,487,0.27876359473382945,"[0.26, 0.30]",9++
1,1,1,2,0.004,500,1547,544,0.3516483516483517,"[0.33, 0.38]",9++
1,1,1,2,0.004,600,1547,655,0.4234001292824822,"[0.40, 0.45]",9++
1,1,1,2,0.004,700,1546,674,0.4359637774902975,"[0.41, 0.46]",9++
1,1,1,2,0.004,800,1744,814,0.46674311926605505,"[0.44, 0.49]",9++
1,1,1,2,0.004,1600,1821,1236,0.6787479406919276,"[0.66, 0.70]",9++
3,0,0,0,0.0001,3200,915,83,0.0907103825136612,"[0.07, 0.11]",9++
3,0,0,0,0.0001,6400,1314,240,0.182648401826484,"[0.16, 0.20]",9++
3,0,0,0,0.0005,3200,915,332,0.3628415300546448,"[0.33, 0.39]",9++
3,0,0,0,0.0005,6400,1314,515,0.3919330289193303,"[0.37, 0.42]",9++
3,0,0,0,0.001,100,709,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,0.001,200,709,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,0.001,300,709,8,0.011283497884344146,"[0.01, 0.02]",9++
3,0,0,0,0.001,400,708,26,0.03672316384180791,"[0.03, 0.05]",9++
3,0,0,0,0.001,500,507,44,0.08678500986193294,"[0.07, 0.11]",9++
3,0,0,0,0.001,600,505,90,0.1782178217821782,"[0.15, 0.21]",9++
3,0,0,0,0.001,700,505,137,0.2712871287128713,"[0.23, 0.31]",9++
3,0,0,0,0.001,800,703,239,0.3399715504978663,"[0.31, 0.38]",9++
3,0,0,0,0.001,1600,505,217,0.4297029702970297,"[0.39, 0.47]",9++
3,0,0,0,0.001,3200,927,437,0.4714131607335491,"[0.44, 0.50]",9++
3,0,0,0,0.001,6400,1312,670,0.510670731707317,"[0.48, 0.54]",9++
3,0,0,0,0.004,100,1052,0,0.0,"[0.00, 0.00]",9++
3,0,0,0,0.004,200,1052,4,0.0038022813688212928,"[0.00, 0.01]",9++
3,0,0,0,0.004,300,1052,25,0.02376425855513308,"[0.02, 0.03]",9++
3,0,0,0,0.004,400,1051,54,0.05137963843958135,"[0.04, 0.07]",9++
3,0,0,0,0.004,500,850,100,0.11764705882352941,"[0.10, 0.14]",9++
3,0,0,0,0.004,600,848,219,0.25825471698113206,"[0.23, 0.29]",9++
3,0,0,0,0.004,700,847,405,0.4781582054309327,"[0.44, 0.51]",9++
3,0,0,0,0.004,800,1045,561,0.5368421052631579,"[0.51, 0.57]",9++
3,0,0,0,0.004,1600,1124,769,0.6841637010676157,"[0.66, 0.71]",9++
3,0,0,0,0.004,3200,926,750,0.8099352051835853,"[0.78, 0.83]",9++
3,0,0,0,0.004,6400,1310,1015,0.7748091603053435,"[0.75, 0.80]",9++
3,0,0,0,0.006,6400,1309,1113,0.8502673796791443,"[0.83, 0.87]",9++
3,0,0,0,0.008,3200,926,690,0.7451403887688985,"[0.72, 0.77]",9++
3,0,0,0,0.008,6400,1308,1071,0.8188073394495413,"[0.80, 0.84]",9++
3,0,0,0,0.016,100,709,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,0.016,200,709,6,0.00846262341325811,"[0.00, 0.02]",9++
3,0,0,0,0.016,300,708,15,0.0211864406779661,"[0.01, 0.03]",9++
3,0,0,0,0.016,400,707,20,0.028288543140028287,"[0.02, 0.04]",9++
3,0,0,0,0.016,500,506,48,0.09486166007905138,"[0.07, 0.12]",9++
3,0,0,0,0.016,600,505,89,0.17623762376237623,"[0.15, 0.21]",9++
3,0,0,0,0.016,700,505,154,0.30495049504950494,"[0.27, 0.35]",9++
3,0,0,0,0.016,800,703,281,0.39971550497866287,"[0.36, 0.44]",9++
3,0,0,0,0.016,1600,503,242,0.48111332007952284,"[0.44, 0.52]",9++
3,0,0,0,0.016,3200,926,541,0.5842332613390929,"[0.55, 0.62]",9++
3,0,0,0,0.016,6400,1308,911,0.6964831804281345,"[0.67, 0.72]",9++
3,0,0,0,0.064,100,508,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,0.064,200,508,4,0.007874015748031496,"[0.00, 0.02]",9++
3,0,0,0,0.064,300,508,5,0.00984251968503937,"[0.00, 0.02]",9++
3,0,0,0,0.064,400,508,11,0.021653543307086614,"[0.01, 0.04]",9++
3,0,0,0,0.064,500,506,23,0.045454545454545456,"[0.03, 0.07]",9++
3,0,0,0,0.064,600,505,60,0.1188118811881188,"[0.09, 0.15]",9++
3,0,0,0,0.064,700,505,105,0.2079207920792079,"[0.17, 0.25]",9++
3,0,0,0,0.064,800,505,128,0.25346534653465347,"[0.22, 0.29]",9++
3,0,0,0,0.064,1600,503,161,0.32007952286282304,"[0.28, 0.36]",9++
3,0,0,0,0.064,3200,926,377,0.40712742980561556,"[0.38, 0.44]",9++
3,0,0,0,0.064,6400,1306,582,0.445635528330781,"[0.42, 0.47]",9++
3,0,0,0,0.256,100,508,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,0.256,200,508,1,0.001968503937007874,"[0.00, 0.01]",9++
3,0,0,0,0.256,300,508,8,0.015748031496062992,"[0.01, 0.03]",9++
3,0,0,0,0.256,400,508,7,0.013779527559055118,"[0.01, 0.03]",9++
3,0,0,0,0.256,500,505,15,0.0297029702970297,"[0.02, 0.05]",9++
3,0,0,0,0.256,600,505,30,0.0594059405940594,"[0.04, 0.08]",9++
3,0,0,0,0.256,700,505,63,0.12475247524752475,"[0.10, 0.16]",9++
3,0,0,0,0.256,800,505,71,0.1405940594059406,"[0.11, 0.17]",9++
3,0,0,0,0.256,1600,503,90,0.17892644135188868,"[0.15, 0.21]",9++
3,0,0,0,0.256,3200,926,217,0.234341252699784,"[0.21, 0.26]",9++
3,0,0,0,0.256,6400,1305,396,0.30344827586206896,"[0.28, 0.33]",9++
3,0,0,0,1.024,100,508,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,1.024,200,508,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,1.024,300,508,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,1.024,400,507,1,0.0019723865877712033,"[0.00, 0.01]",9++
3,0,0,0,1.024,500,505,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,1.024,600,505,0,0.0,"[0.00, 0.01]",9++
3,0,0,0,1.024,700,505,1,0.0019801980198019802,"[0.00, 0.01]",9++
3,0,0,0,1.024,800,505,3,0.005940594059405941,"[0.00, 0.02]",9++
3,0,0,0,1.024,1600,502,4,0.00796812749003984,"[0.00, 0.02]",9++
3,0,0,0,1.024,3200,926,10,0.01079913606911447,"[0.01, 0.02]",9++
3,0,0,2,0.004,100,556,0,0.0,"[0.00, 0.01]",9++
3,0,0,2,0.004,200,556,3,0.00539568345323741,"[0.00, 0.02]",9++
3,0,0,2,0.004,300,556,12,0.02158273381294964,"[0.01, 0.04]",9++
3,0,0,2,0.004,400,555,29,0.05225225225225225,"[0.04, 0.07]",9++
3,0,0,2,0.004,800,552,293,0.5307971014492754,"[0.49, 0.57]",9++
3,0,0,2,0.004,1600,631,428,0.6782884310618067,"[0.64, 0.71]",9++
3,0,1,0,0.004,100,556,2,0.0035971223021582736,"[0.00, 0.01]",9++
3,0,1,0,0.004,200,556,39,0.07014388489208633,"[0.05, 0.09]",9++
3,0,1,0,0.004,300,555,126,0.22702702702702704,"[0.19, 0.26]",9++
3,0,1,0,0.004,400,555,171,0.3081081081081081,"[0.27, 0.35]",9++
