level,time_ms,rollout_mode,heuristic_mode,selection_mode,loss_heuristic,ucb_const,threads,num_games,num_wins,win_rate,lower_bound,upper_bound
9++,1600,normal,no heuristic,full expand,no heuristic,0.004,8,2322,212,0.0913006029285099,0.08,0.1
9,100,normal,no heuristic,full expand,no heuristic,1e-05,8,1310,192,0.1465648854961832,0.13,0.17
9,100,normal,no heuristic,full expand,no heuristic,5e-05,8,1310,182,0.1389312977099236,0.12,0.16
9,100,normal,no heuristic,full expand,no heuristic,0.0001,8,798,118,0.1478696741854636,0.12,0.17
9,100,normal,no heuristic,full expand,no heuristic,0.0005,8,1518,189,0.1245059288537549,0.11,0.14
9,100,normal,no heuristic,full expand,no heuristic,0.001,8,1316,181,0.1375379939209726,0.12,0.16
9,100,normal,no heuristic,full expand,no heuristic,0.002,8,1277,148,0.1158966327329679,0.1,0.13
9,100,normal,no heuristic,full expand,no heuristic,0.004,8,733,78,0.1064120054570259,0.09,0.13
9,100,normal,no heuristic,full expand,no heuristic,0.008,8,1278,160,0.1251956181533646,0.11,0.14
9,100,normal,no heuristic,full expand,no heuristic,0.016,8,1048,142,0.1354961832061068,0.12,0.16
9,100,normal,no heuristic,full expand,no heuristic,0.032,8,557,67,0.1202872531418312,0.1,0.15
9,100,normal,no heuristic,full expand,no heuristic,0.064,8,1566,182,0.1162196679438058,0.1,0.13
9,100,normal,no heuristic,full expand,no heuristic,0.128,8,557,48,0.0861759425493716,0.07,0.11
9,100,normal,no heuristic,full expand,no heuristic,0.256,8,529,46,0.0869565217391304,0.07,0.11
9,100,normal,no heuristic,full expand,no heuristic,0.512,8,556,44,0.079136690647482,0.06,0.1
9,100,normal,no heuristic,full expand,no heuristic,1.024,8,844,63,0.0746445497630331,0.06,0.09
9+,400,parallel max,no heuristic,full expand,no heuristic,0.001,8,1751,974,0.5562535693889206,0.53,0.58
9+,400,parallel max,no heuristic,full expand,no heuristic,0.002,8,1886,1096,0.5811240721102863,0.56,0.6
9+,400,parallel max,no heuristic,full expand,no heuristic,0.004,8,2093,1192,0.5695174390826565,0.55,0.59
9+,400,parallel max,no heuristic,full expand,no heuristic,0.008,8,1885,1080,0.5729442970822282,0.55,0.6
9+,400,parallel max,no heuristic,full expand,no heuristic,0.016,8,1749,968,0.5534591194968553,0.53,0.58
9+,400,parallel max,no heuristic,full expand,no heuristic,0.032,8,1888,985,0.5217161016949152,0.5,0.54
